#Table1
u,g,r,i,z,redshift
18.98022,17.11177,16.17397,15.7738,15.426,0.08569192
19.54336,17.68748,16.80427,16.39521,16.07631,0.08471613
19.30341,17.46814,16.57523,16.16349,15.85414,0.08144391
19.06555,17.06481,16.05295,15.53136,15.14853,0.08300412
17.89923,16.09698,15.27797,14.84222,14.56425,0.08246148
19.15353,17.70317,16.92624,16.50699,16.23545,0.08265019
19.00659,17.46996,16.69207,16.29661,16.01036,0.08398743
18.73435,16.83528,15.89845,15.49562,15.14348,0.08417733
19.27567,17.23888,16.27929,15.86932,15.52172,0.08421105
20.8017,18.685,17.7966,17.25692,16.9484,0.08311027
18.82988,17.53276,16.89593,16.50574,16.27493,0.08218905
19.29044,18.00238,17.50918,17.24906,17.10965,0.08182288
19.30204,18.12138,17.7213,17.41397,17.27104,0.08197818
19.97022,18.19889,17.37428,16.99286,16.72912,0.08133649
19.29866,17.37684,16.4664,16.04853,15.69904,0.08087636
19.60993,17.72777,16.76525,16.29187,16.00943,0.08436722
19.78767,17.68468,16.7858,16.4302,16.04733,0.08476349
19.0912,17.1066,16.20807,15.80922,15.47076,0.08565257
19.57053,17.77846,16.85433,16.37339,15.98376,0.08626503
18.36447,16.28006,15.29312,14.87016,14.49654,0.08642442
20.51084,18.37912,17.36881,16.92583,16.56001,0.08058321
17.8751,16.62088,16.04468,15.67718,15.44958,0.07620737
19.02504,17.50819,16.8133,16.40903,16.18544,0.07383361
18.81549,17.16551,16.31389,15.88187,15.569,0.08014426
19.80903,17.7426,16.79388,16.36399,15.98931,0.08574168
19.43866,17.48883,16.56063,16.13155,15.78993,0.08507867
19.15306,17.41266,16.52953,16.11606,15.79965,0.08238391
19.42913,17.37634,16.44042,15.99871,15.68624,0.08446006
20.44045,18.1049,17.0056,16.48024,16.03721,0.0857183
20.38012,18.43584,17.54425,17.14972,16.81278,0.08474323
19.40479,17.52898,16.63239,16.22235,15.90367,0.08268686
20.14313,18.24194,17.32929,16.84636,16.46382,0.08327536
19.93477,18.83911,18.45093,18.16184,17.99796,0.0831333
19.97462,18.40738,17.56369,17.08301,16.71126,0.08582125
19.9455,18.08885,17.19634,16.77242,16.40241,0.08242302
18.547,17.4983,17.0444,16.72074,16.54726,0.08397079
19.66357,17.66561,16.68239,16.23727,15.88782,0.08884999
18.92354,17.53111,16.73598,16.32614,16.00741,0.08160174
19.99107,18.08109,17.12351,16.71818,16.35478,0.08382601
20.3095,18.29179,17.35889,16.92118,16.55624,0.0836834
20.24305,18.57613,17.71898,17.26947,16.87756,0.07314108
18.96424,17.7005,17.17431,16.86772,16.66748,0.08566981
19.27872,17.37045,16.46359,16.05453,15.71305,0.08175541
18.58351,17.38967,16.90041,16.5779,16.39905,0.08563632
20.00451,18.03804,17.13165,16.71042,16.36946,0.08334474
18.22929,16.99104,16.4877,16.16564,15.90997,0.08552645
22.28703,23.06975,20.00854,18.98312,20.78654,0.08563361
19.02447,17.46911,16.76896,16.44058,16.16151,0.08190707
18.73468,16.87773,15.9586,15.55689,15.23007,0.08575411
20.03128,18.47726,17.68513,17.28812,16.94784,0.08393086
20.12702,18.19928,17.26356,16.84255,16.50154,0.08585291
19.344,18.21936,17.61789,17.25592,17.01245,0.08580142
20.09115,18.24241,17.33957,16.94466,16.61077,0.083621
19.39135,18.09164,17.4505,17.07291,16.82672,0.08178464
18.59287,17.0871,16.29822,15.88552,15.56863,0.08077726
19.5239,17.60466,16.64084,16.20983,15.84354,0.08827489
18.20212,16.94959,16.30258,15.89587,15.62526,0.08120288
18.72229,17.34192,16.67519,16.27271,15.94496,0.04720235
18.74306,17.51584,16.8362,16.44594,16.19042,0.08478002
19.25562,17.23803,16.25903,15.8357,15.43507,0.0859492
20.48796,18.38617,17.40133,16.95914,16.58134,0.08697884
18.62936,16.77869,15.84116,15.40949,15.08547,0.08023216
19.4775,17.51512,16.55689,16.11598,15.75708,0.08462463
20.69372,18.5789,17.66521,17.24564,16.91498,0.08408105
20.20132,18.21014,17.18715,16.71073,16.32419,0.08792177
19.40141,17.64815,16.74163,16.27198,15.94268,0.08888021
19.53188,17.64628,16.75193,16.34617,16.0192,0.08446324
20.33566,18.53632,17.70011,17.31382,16.99989,0.08246665
17.71284,16.26743,15.61815,15.26946,14.99411,0.03384244
19.37177,18.18778,17.58348,17.13908,16.93864,0.08275792
19.66169,18.16155,17.33943,16.90515,16.58922,0.08435389
18.83885,17.64994,17.13454,16.80813,16.63157,0.08545643
19.8583,18.31871,17.46344,17.01159,16.71287,0.08687946
19.58232,17.62089,16.65487,16.23807,15.86358,0.08400247
20.18447,18.28964,17.38729,16.96727,16.61333,0.08322683
19.22735,18.15251,17.73294,17.46182,17.33928,0.07863385
20.4292,18.43875,19.02415,17.63169,23.19052,0.07772421
17.47912,16.09549,15.40855,15.05322,14.76498,0.04545274
18.82022,17.77765,17.38575,17.11128,16.9354,0.08636355
18.92616,17.56431,16.88419,16.51289,16.21638,0.07561398
19.25236,17.58337,16.84414,16.48812,16.20908,0.06314352
19.51004,18.33421,17.69753,17.3315,17.10328,0.08564888
20.66874,18.45199,17.35517,16.8078,16.38843,0.08501052
18.31541,16.32926,15.37976,14.93105,14.5716,0.05488715
18.40463,16.78039,16.13863,15.83869,15.60236,0.05567088
17.77556,16.35466,15.66237,15.28914,14.98384,0.05450195
18.43008,17.22846,16.7045,16.35083,16.15969,0.0551175
19.01031,17.04829,16.09383,15.66923,15.33073,0.08584159
18.43241,17.15506,16.61828,16.32065,16.11701,0.04305437
19.20045,18.17965,17.82482,17.48602,17.3702,0.06703886
19.83034,18.13077,17.3612,16.98382,16.69695,0.07450364
19.07474,18.05492,17.68254,17.4419,17.30675,0.05481449
18.59017,17.39731,16.83394,16.5003,16.29876,0.07520767
17.83536,16.5808,16.14995,15.88617,15.771,0.03666505
19.31087,18.22623,17.86869,17.59192,17.46324,0.07534166
19.63442,17.80264,16.93238,16.44332,16.04157,0.04846639
19.93408,18.07372,17.11768,16.69721,16.32371,0.084674
19.09383,17.5853,16.84627,16.48191,16.19771,0.08708939
20.31186,18.50224,17.59805,17.11003,16.82476,0.07454437
19.37461,17.43898,16.49768,16.08884,15.7473,0.0745604
20.15793,18.08764,17.0753,16.62846,16.22921,0.0871883
20.18045,18.49279,17.72764,17.37831,17.11445,0.08461317
19.10346,17.97234,17.42063,17.07622,16.93138,0.08169301
19.25959,17.5637,16.68503,16.14327,15.80137,0.07163665
20.4115,18.47743,17.56403,17.13233,16.74539,0.08774808
18.40248,16.76351,15.96425,15.52883,15.23378,0.08631681
19.62183,17.67967,16.79071,16.36463,16.05297,0.08705722
18.60389,16.52686,15.5705,15.12576,14.79617,0.08776588
19.46828,17.48583,16.53874,16.10298,15.76828,0.08903272
18.94325,17.02095,16.06735,15.63387,15.28098,0.08937013
20.13928,18.27217,17.3528,16.93877,16.62172,0.08796965
18.88838,17.88406,17.42734,17.12453,16.98339,0.08640119
19.46207,17.81834,17.01301,16.617,16.31902,0.07104074
18.34066,16.5023,15.64826,15.26125,14.95627,0.07053274
18.86362,17.87739,17.46657,17.17367,17.04404,0.06982873
17.7933,16.90408,16.6164,16.30378,16.30438,0.08875664
20.20148,18.08835,17.3072,16.87911,16.52814,0.08760627
19.17263,18.06068,17.6305,17.33272,17.2204,0.08685333
19.15242,17.42991,16.57173,16.15933,15.85434,0.08845632
18.28101,17.18856,16.70175,16.33173,16.14626,0.08813617
19.14205,17.96772,17.45321,17.09447,16.88161,0.088566
18.3738,16.84218,16.10014,15.71413,15.41793,0.04749686
19.47647,17.61476,16.68962,16.23929,15.87438,0.07854678
18.14094,16.32733,15.41508,14.97462,14.65088,0.07823179
19.19459,18.31113,18.09644,17.83205,17.75919,0.05310636
19.61787,18.20142,17.4861,17.0614,16.79649,0.08276038
20.14716,18.15386,17.18282,16.72794,16.35742,0.08923467
18.77788,17.11622,16.37415,15.98126,15.68712,0.03762654
18.90994,17.66969,16.9995,16.62222,16.35383,0.08791664
19.23039,18.06944,17.59436,17.23812,17.09449,0.07908808
19.74604,18.13457,17.35879,16.93341,16.58214,0.06943162
18.81291,17.77027,17.30868,16.95996,16.8011,0.07006504
19.0146,17.33462,16.45423,16.02605,15.67589,0.08909858
18.23204,16.45568,15.63056,15.19764,14.8788,0.06956718
19.13308,17.40575,16.62545,16.24547,15.949,0.0540957
18.31448,16.3301,15.37186,14.92445,14.57653,0.08377565
19.48431,17.65862,16.82022,16.41256,16.10751,0.04922657
17.30749,15.6382,14.85252,14.41335,14.09335,0.04918197
18.83467,16.87045,15.92178,15.46264,15.12855,0.08257761
18.45884,16.44801,15.54898,15.10957,14.77067,0.0592591
19.7874,18.41811,17.8602,17.5051,17.36492,0.08248106
19.97262,18.2552,17.48094,17.07471,16.75625,0.05312007
17.78579,15.81054,14.90429,14.46237,14.08691,0.0547474
19.56969,17.68342,16.78645,16.32482,15.95005,0.05197871
19.35937,18.22513,17.66206,17.31788,17.06518,0.05215927
19.37703,17.57063,16.72757,16.31166,15.98427,0.05251924
19.55739,18.05004,17.28424,16.8978,16.62592,0.05252395
20.55789,18.61775,17.68955,17.26671,16.92357,0.07928953
20.297,19.23674,18.85893,18.59474,18.49917,0.07004102
20.2026,18.29808,17.34943,16.93872,16.5953,0.08285472
19.87624,18.2682,17.45568,17.02044,16.67503,0.07905809
19.95724,18.16895,17.30886,16.92909,16.62785,0.08260613
16.24702,15.40807,15.23481,15.08117,15.27251,0.03387971
18.91479,17.94651,17.52277,17.29097,17.1671,0.03234835
17.70443,15.99919,15.14205,14.66632,14.28692,0.03347733
18.98885,16.98727,16.06243,15.53579,15.07409,0.04782268
19.83016,18.16726,17.25603,16.79715,16.43426,0.08141904
18.5155,16.37357,15.35883,14.88447,14.49976,0.08189316
19.1086,17.67414,16.96236,16.55361,16.28782,0.08230957
19.02819,17.46989,16.65357,16.16962,15.78333,0.08287931
18.95151,17.90119,17.39108,17.06789,16.9069,0.081264
19.63362,18.0747,17.26488,16.79663,16.45256,0.08205603
20.68979,18.70132,17.70608,17.21791,16.85081,0.08219874
17.62374,16.60367,16.09615,15.67568,15.4831,0.0821794
18.17156,16.149,15.20604,14.82953,14.45938,0.07402559
18.51329,17.40589,16.97614,16.70949,16.54315,0.07574287
18.92682,17.3049,16.45185,16.04218,15.72911,0.0744108
18.58879,17.28685,16.61623,16.26184,15.99298,0.07432845
19.57578,17.78184,16.91376,16.54544,16.22389,0.07563096
19.0969,17.11544,16.17229,15.73174,15.39581,0.08228508
18.59395,17.27432,16.64532,16.26259,16.04436,0.08181835
19.8289,17.94919,17.06682,16.6563,16.31203,0.07563971
18.95549,17.7053,17.10296,16.70164,16.42739,0.08204828
19.31901,17.81679,17.05058,16.61492,16.30321,0.0755471
19.48652,17.89166,17.12134,16.72313,16.42418,0.08196013
20.34872,18.32076,17.60765,17.18254,16.82224,0.05464414
18.90549,17.72673,17.10558,16.75495,16.53353,0.08180794
18.16304,16.78062,16.12097,15.75355,15.48484,0.08145296
19.11444,17.80013,17.26208,16.91233,16.6414,0.05153014
18.33855,17.2028,16.75098,16.45152,16.25284,0.05493388
18.9856,17.85412,17.3103,16.962,16.76047,0.055442
19.42665,18.02261,17.32299,16.953,16.64705,0.08218509
18.67599,16.76259,15.86278,15.44822,15.11575,0.07551912
18.30836,16.71742,15.87301,15.44984,15.13607,0.0749653
17.84906,15.89466,14.94347,14.49597,14.15972,0.07545102
19.04375,17.03508,16.08877,15.66198,15.31715,0.0833808
19.73649,18.08054,17.25001,16.84791,16.50825,0.08322639
18.59947,16.66589,15.75185,15.32275,15.20075,0.0750481
19.90069,18.73721,18.08303,17.63107,17.50321,0.07662496
19.00912,17.23706,16.31943,15.89727,15.5499,0.08008775
19.4301,17.75789,16.91805,16.51355,16.20284,0.08148253
19.13704,17.87099,17.23268,16.90013,16.71522,0.08164672
19.55154,17.67778,16.75413,16.28657,15.83237,0.04604892
17.88362,16.89775,16.54618,16.28697,16.16368,0.05541164
19.16851,17.59617,16.74283,16.24677,15.83097,0.05530245
17.18507,15.72415,15.00004,14.63665,14.33394,0.04613728
19.80136,17.9136,16.99336,16.46434,16.07801,0.08655477
18.51973,17.20633,16.55924,16.19339,15.90205,0.05612796
18.30545,17.26994,16.91439,16.70308,16.51561,0.03424437
19.21814,18.18277,17.82595,17.65542,17.57298,0.03440157
17.79805,16.55698,16.03368,15.6688,15.44794,0.08647047
17.2373,15.65943,14.76368,14.32308,13.97611,0.08613902
18.87348,17.84478,17.35933,17.11581,16.95407,0.07604571
18.88721,17.3464,16.52588,16.08977,15.78733,0.07576311
19.39423,17.51354,16.65162,16.22017,15.91311,0.07615651
18.81658,17.59161,17.05509,16.74705,16.50039,0.07625112
19.47871,17.62571,16.88785,16.44994,16.14513,0.04741794
18.95429,17.82162,17.33243,17.04852,16.89649,0.0610222
19.24453,17.65741,16.82154,16.37322,16.03514,0.06156222
19.13953,18.01792,17.40275,17.08604,16.78118,0.08770674
20.40999,18.64218,17.73946,17.2975,16.96361,0.08771852
19.1675,17.96583,17.41014,17.04618,16.81242,0.07187126
19.01553,17.24212,16.37196,15.90295,15.60863,0.07189922
19.95325,18.00285,17.08002,16.66407,16.31741,0.08871085
19.28285,18.01314,17.35044,16.91509,16.67522,0.08709573
19.6266,17.53253,16.48513,16.02063,15.60774,0.08937021
18.98921,17.15716,16.20133,15.6839,15.26758,0.08760937
20.1584,18.31817,17.38572,16.95323,16.59498,0.08941884
19.94014,18.10158,17.20238,16.80987,16.50521,0.08843993
20.29834,18.4323,17.4743,17.06494,16.69792,0.08868074
17.79184,15.85183,14.87195,14.43841,14.10805,0.08862462
19.25311,17.27106,16.30346,15.87418,15.52764,0.08685431
20.21012,18.30779,17.36814,16.9487,16.60181,0.08876412
18.87904,17.15843,16.51672,16.16726,15.92617,0.08609245
20.35012,18.58554,17.66208,17.24824,16.8968,0.08952934
19.20928,17.63995,16.81234,16.4094,16.12009,0.08948262
20.25837,18.43748,17.49032,17.08479,16.7256,0.08886703
19.48045,17.91541,17.08926,16.62779,16.24467,0.07713702
19.58787,18.00633,17.38664,17.08071,16.86875,0.06871965
19.21731,18.11664,17.64723,17.34108,17.1951,0.0882504
18.30368,17.26131,16.89051,16.60345,16.466,0.07110524
18.54888,16.58296,15.61863,15.13974,14.75808,0.08793359
20.39353,18.46238,17.53755,17.12828,16.82148,0.08698143
19.43545,17.93626,17.13148,16.72516,16.40298,0.08919691
19.78403,18.06203,17.25609,16.85399,16.54239,0.07087119
19.02651,17.97673,17.70823,17.47398,17.37445,0.07688676
19.29351,17.85368,17.24276,16.90823,16.66283,0.04792073
19.81487,18.0692,17.33596,16.92034,16.58685,0.07801712
19.39216,18.24719,17.68488,17.33047,17.19916,0.08958714
19.73947,17.73589,16.71759,16.17863,15.73088,0.08310145
18.40331,17.26724,16.81593,16.54532,16.30759,0.03057908
18.03477,17.08654,16.76294,16.56732,16.42024,0.03234868
18.83337,17.52152,16.85736,16.48317,16.19493,0.06917019
18.63802,17.31392,16.61053,16.23437,15.9575,0.06961987
18.62635,16.82193,15.97119,15.57207,15.23805,0.06995656
19.0875,17.45376,16.71953,16.3354,16.04523,0.07898407
18.89456,17.28899,16.59483,16.2783,16.00699,0.04756837
19.43543,18.21516,17.63759,17.2469,17.04163,0.07902597
17.60775,16.14782,15.41296,15.01297,14.64746,0.03281746
18.80461,18.20425,18.02746,17.87077,17.79389,0.03239046
19.4553,18.27777,17.81222,17.46869,17.25567,0.07909509
18.56489,17.28337,16.65403,16.27755,15.98773,0.06999499
18.93137,17.93331,17.5933,17.39079,17.28925,0.03248152
19.05525,17.07544,16.13153,15.69524,15.34372,0.07972385
17.68507,15.8723,15.03879,14.64731,14.33595,0.05311634
19.97149,18.01318,17.10962,16.69827,16.35154,0.05328913
20.56422,18.63925,17.70033,17.26219,16.90366,0.08316067
19.49749,18.01691,17.45764,17.10353,16.94522,0.07665356
19.14905,18.07992,17.70406,17.45813,17.35761,0.05204193
20.31022,18.69355,17.84471,17.348,16.92449,0.08304734
18.9978,17.96598,17.66925,17.40718,17.33742,0.07101605
19.95831,18.00215,17.09709,16.67875,16.32904,0.07042255
19.28804,18.16719,17.85579,17.60978,17.40311,0.05446
19.63615,17.87453,17.00804,16.60426,16.26805,0.08195096
18.1783,16.19937,15.22702,14.78768,14.41241,0.08298903
19.7428,18.37388,17.78228,17.42378,17.18246,0.05335716
19.43621,17.96616,17.46264,17.16207,16.91622,0.05473021
18.73939,17.7724,17.44617,17.18686,17.03861,0.05465138
19.5671,18.27359,17.74839,17.39034,17.21316,0.08241674
19.40063,18.29205,17.86186,17.61758,17.3719,0.04783304
19.6233,17.93561,17.10307,16.68504,16.35575,0.07706022
19.66696,17.89155,16.9889,16.55514,16.26904,0.07727106
19.27609,17.96388,17.25047,16.87071,16.59677,0.07824092
18.78383,17.5215,16.98007,16.62821,16.49047,0.05139021
18.96719,17.68041,17.19386,16.89042,16.67189,0.03940544
19.70847,17.90918,17.00888,16.50136,16.11541,0.05165907
19.22316,17.35207,16.54591,16.13067,15.81339,0.05125009
19.18741,17.91079,17.44675,17.16378,16.91738,0.0513588
20.60352,18.3464,17.42187,17.0058,16.69867,0.08429851
19.44927,18.13828,17.69925,17.42694,17.3126,0.06351992
20.1884,18.6189,18.24269,18.02197,17.82934,0.05259478
18.92674,17.03642,16.21086,15.83708,15.47452,0.05310893
18.55143,16.63283,15.77885,15.55229,15.04837,0.05199153
19.2812,17.41286,16.44519,16.00515,15.41987,0.05194937
18.23823,16.30048,15.43029,15.17234,14.63917,0.05195385
18.01064,16.89891,16.50982,16.0689,15.89657,0.05497202
18.41813,17.6779,17.58555,17.3528,17.23472,0.03182963
18.88021,17.56715,16.84334,16.39481,16.15116,0.08451605
19.48882,18.42888,17.95833,17.53517,17.37079,0.08392204
17.6484,17.08707,16.7639,16.39159,16.34332,0.07895102
20.26925,18.08437,17.23688,16.78183,16.41485,0.07892007
17.58941,16.23736,15.60238,15.26133,14.96684,0.05360455
18.92322,17.41711,16.63626,16.21797,15.85264,0.05287147
18.91006,17.0977,16.2622,15.88035,15.55542,0.05275534
17.63708,16.5797,16.18707,16.0062,15.84555,0.03497078
17.1973,16.06017,15.52268,15.24191,14.9917,0.03448118
19.38519,17.68079,16.73539,16.20056,15.80572,0.05318839
19.56291,18.14799,17.32569,16.7966,16.46201,0.05301767
21.40663,19.46663,18.52785,17.93651,17.54223,0.08010395
21.32341,19.07353,18.17636,17.66821,17.01774,0.08767803
19.92504,17.8653,16.82966,16.32582,15.92543,0.08794557
20.56003,18.98596,18.12127,17.62518,17.21574,0.06487791
19.94651,18.63432,17.96568,17.5342,17.32531,0.08550129
21.73818,20.26633,19.32409,18.64037,18.23833,0.06774854
18.62598,17.17277,16.18158,15.61712,15.19083,0.05184619
20.30216,19.06746,18.36629,18.08319,17.71965,0.05386671
22.20337,20.52151,19.39037,18.65203,18.15732,0.0415822
20.60625,19.45846,19.07733,18.89252,19.05773,0.03348958
19.85748,18.73315,18.23667,17.86402,17.74037,0.08514857
20.37908,19.28088,18.81877,18.46449,18.44435,0.08577748
21.08704,19.32721,18.35676,17.86816,17.47152,0.08677593
